,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
7765,2483.0,0.0,270.0,0.0,0.0,27.781868869438767,2,44,11,1,11,3,41,5,11,7,1,35,0.8617245005257623,0.9994904458598726,0.5051488297586348,0.9775948,0.8866958658138083,0.9504305059623377,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
8568,2032.0,2.8624053,0.0,-0.0,-10.0,44.62214906793088,2,149,11,1,28,3,27,5,2,7,1,55,0.8617245005257623,0.9243553982996707,0.5025435738990375,0.90414894,0.7052611947604329,0.7579147183067712,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,High,1,1
8921,666.0,34.99202,180.0,-0.0,-140.0,126.25210905075072,3,148,8,1,16,3,55,5,2,6,2,53,0.5529661016949152,0.6534848484848484,0.49988629201650764,0.6667073,0.455311883663426,0.5571520218891922,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,1,1
6383,2013.0,2.8624053,0.0,-0.0,-10.0,140.23614024184644,3,76,15,2,29,3,22,4,2,7,1,29,0.8617245005257623,0.9345714285714286,0.5057990857817783,0.94602895,0.9332403941369943,0.9860998948934238,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7928,962.0,0.0,270.0,0.0,0.0,31.736847246065736,3,40,8,2,1,5,14,9,2,7,2,23,0.6535269709543569,0.96,0.5037789616952193,0.9302219,0.512330264606004,0.7596704911498493,Medium,High,Medium,High,Medium,High,High,Very High,Medium,Very High,Medium,High,1,1
506,1226.0,30.963757,270.0,-0.0,120.0,31.66083952691406,2,59,59,1,26,4,43,5,8,7,1,29,0.8617245005257623,0.19054545454545455,0.5016541346991347,0.16059144,0.5692391348170649,0.4272923072386933,High,Low,Medium,Low,Medium,Medium,Very High,Very Low,Medium,Very Low,Medium,Medium,0,1
6431,336.0,18.756304,173.6598,11.900001,-68.1,91.01304528303444,4,118,62,8,44,6,64,9,13,7,2,62,0.5529661016949152,0.8732558139534884,0.5020942349131715,0.91209155,0.4927085909024532,0.6563145023545902,Medium,High,Medium,High,Medium,Medium,Medium,Very High,Medium,Very High,Medium,High,1,1
2961,217.0,4.044691,225.0,10.0,-10.0,53.199418956413865,6,116,11,1,30,4,2,7,4,3,1,15,0.20710059171597633,0.05,0.4958378879384637,0.016229428,0.19607269088903803,0.14120269468374824,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4358,62.0,0.0,270.0,0.0,0.0,2.538970470428467,7,131,49,7,1,5,2,7,4,3,2,22,0.02556818181818182,0.0,0.4892554415900356,0.004453643,0.01647964967696891,0.035294248424715555,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
9429,1871.0,16.699244,180.0,-0.0,60.0,0.0,3,148,8,1,16,3,55,5,2,8,2,1,0.12217194570135746,0.68,0.49625432484255844,0.67612225,0.5415973885876105,0.5216138865222983,Low,High,Medium,High,Medium,Medium,Very Low,High,Medium,High,Medium,Medium,1,1
