,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
104918,104918,14.94825063,-91.2982773,0,2018-11-07,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
104921,104921,15.04185899,-91.23069512,0,2018-03-07,Qp,Pleistoceno Holoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qi,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillo-arenosa,Moderadamente Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII
104948,104948,15.01575858,-91.82376972,0,2021-11-02,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VIII
104951,104951,15.02876956,-91.80230593,0,2010-04-02,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
104962,104962,15.02874828,-91.73512203,0,2013-03-02,Qp,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,VII
104977,104977,14.99630262,-91.72042842,0,2014-08-28,Qp,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,VII
104992,104992,14.94684592,-91.65298678,0,2019-11-04,Qp,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Os,Ceniza Volcánica Pomácea,Drenaje Excesivo,Arena-Franca o Arena Suelta,Gruesa,Ceniza Volcánica,-999,Alto,Andisoles,VI
104993,104993,14.96572937,-91.6595229,0,2010-07-04,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,VI
104995,104995,14.96013517,-91.65690267,0,2017-11-26,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Os,Ceniza Volcánica Pomácea,Drenaje Excesivo,Arena-Franca o Arena Suelta,Gruesa,Ceniza Volcánica,-999,Alto,Andisoles,VI
105006,105006,14.9029799,-91.29285796,0,2015-02-13,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
