,slope_1,slope_6,slope_11,slope_16,slope_21,slope_2,slope_7,slope_12,slope_17,slope_22,slope_3,slope_8,slope_13,slope_18,slope_23,slope_4,slope_9,slope_14,slope_19,slope_24,slope_5,slope_10,slope_15,slope_20,slope_25,aspect_1,aspect_6,aspect_11,aspect_16,aspect_21,aspect_2,aspect_7,aspect_12,aspect_17,aspect_22,aspect_3,aspect_8,aspect_13,aspect_18,aspect_23,aspect_4,aspect_9,aspect_14,aspect_19,aspect_24,aspect_5,aspect_10,aspect_15,aspect_20,aspect_25,curvature_1,curvature_6,curvature_11,curvature_16,curvature_21,curvature_2,curvature_7,curvature_12,curvature_17,curvature_22,curvature_3,curvature_8,curvature_13,curvature_18,curvature_23,curvature_4,curvature_9,curvature_14,curvature_19,curvature_24,curvature_5,curvature_10,curvature_15,curvature_20,curvature_25
17525,15.811389,15.811389,15.0,15.811389,15.811389,15.811389,15.811389,15.0,15.811389,15.811389,5.0,5.0,0.0,5.0,5.0,8.838835,10.752907,10.0,14.57738,19.039433,10.752907,12.374369,10.0,17.67767,21.505814,161.56505,161.56505,180.0,161.56505,161.56505,161.56505,161.56505,180.0,161.56505,161.56505,90.0,90.0,270.0,90.0,90.0,135.0,144.46233,180.0,149.03624,156.8014,125.53768,135.0,180.0,135.0,144.46233,40.0,20.0,30.0,40.0,20.0,-20.0,-40.0,-30.0,-20.0,-40.0,10.0,-10.0,-0.0,10.0,-10.0,20.0,10.0,20.0,30.0,30.0,10.0,-40.0,-20.0,10.0,-70.0
17531,11.18034,11.18034,5.0,7.071068,7.071068,11.18034,11.18034,5.0,7.071068,7.071068,10.0,10.0,0.0,5.0,5.0,10.0,10.0,0.0,3.9528472,5.303301,10.0,10.0,0.0,1.767767,3.9528472,243.43495,243.43495,180.0,225.0,225.0,243.43495,243.43495,180.0,225.0,225.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,251.56505,225.0,270.0,270.0,270.0,225.0,198.43495,-10.0,30.0,10.0,-0.0,20.0,-30.0,10.0,-10.0,-20.0,-0.0,-20.0,20.0,-0.0,-10.0,10.0,-20.0,20.0,-0.0,-10.0,20.0,-20.0,20.0,-0.0,-0.0,-10.0
17532,24.748737,28.504387,25.0,30.872723,33.024612,28.504387,31.819805,25.0,32.25872,34.323826,25.0,25.0,0.0,20.0,20.0,26.279745,26.516504,5.0,22.150057,22.98097,28.77716,28.993534,5.0,24.558603,25.310572,315.0,322.12503,0.0,328.2405,330.5241,307.87497,315.0,0.0,324.4623,326.88867,270.0,270.0,270.0,270.0,270.0,272.72632,278.1301,0.0,286.38953,292.38013,272.48956,277.4314,0.0,284.74356,290.22485,-60.0,-20.0,-50.0,-80.0,-30.0,-20.0,100.0,50.0,10.0,100.0,-50.0,50.0,-0.0,-40.0,40.0,-50.0,40.0,-10.0,-50.0,20.0,-60.0,70.0,10.0,-40.0,70.0
17544,20.615528,20.615528,5.0,42.573467,42.573467,20.615528,20.615528,5.0,37.58324,37.58324,20.0,20.0,0.0,35.0,35.0,22.36068,22.36068,10.0,31.868872,31.27499,22.36068,22.36068,10.0,24.558603,23.782873,284.03625,284.03625,0.0,273.36646,266.63354,284.03625,284.03625,0.0,273.8141,266.1859,270.0,270.0,270.0,270.0,270.0,296.56506,296.56506,0.0,281.30994,267.70938,296.56506,296.56506,0.0,284.74356,266.9872,-50.0,30.0,-10.0,-100.0,100.0,-30.0,50.0,10.0,-60.0,60.0,-40.0,40.0,-0.0,-70.0,70.0,-60.0,20.0,-20.0,-90.0,80.0,-20.0,60.0,20.0,-20.0,30.0
17545,36.44345,38.93103,40.0,50.031242,67.1984,36.271545,38.770157,40.0,49.14901,66.54416,0.0,0.0,0.0,15.0,15.0,72.54309,67.54628,65.0,62.274593,54.914707,72.8869,67.91539,65.0,61.36469,53.880657,5.9061413,5.52754,0.0,12.9946165,9.637538,1.974934,1.8476102,0.0,352.69424,354.6107,270.0,270.0,270.0,270.0,270.0,1.974934,2.1210964,0.0,349.5923,348.1785,5.9061413,6.340192,0.0,356.49646,356.0091,-60.0,-90.0,-80.0,-40.0,-190.0,70.0,80.0,80.0,50.0,180.0,-0.0,-0.0,-0.0,-30.0,30.0,-150.0,-130.0,-130.0,-160.0,-70.0,170.0,110.0,130.0,130.0,100.0
17548,64.34769,65.59821,35.0,63.737743,58.843014,55.0,55.0,0.0,65.0,65.0,55.0,55.0,0.0,66.261795,66.35605,54.22753,50.031242,5.0,67.68494,67.68494,43.33734,37.955566,5.0,66.35605,66.261795,60.945396,59.036243,0.0,64.44003,77.73523,90.0,90.0,270.0,90.0,90.0,90.0,90.0,270.0,91.080925,93.2397,115.974396,102.99461,180.0,94.2364,94.2364,123.23171,107.24146,180.0,93.2397,91.080925,170.0,-40.0,70.0,200.0,-120.0,110.0,-110.0,-0.0,130.0,-130.0,110.0,-110.0,-0.0,130.0,-120.0,170.0,-100.0,10.0,150.0,-150.0,-0.0,-70.0,-10.0,120.0,-130.0
17551,36.91206,34.820972,10.0,12.869538,15.103807,32.596012,30.207615,10.0,14.252193,16.298006,25.0,25.0,0.0,10.0,10.0,31.819805,28.504387,15.0,18.027756,18.027756,28.504387,24.748737,15.0,18.027756,18.027756,118.30076,111.03751,180.0,150.94539,155.55605,122.47119,114.443954,180.0,142.12502,147.52881,90.0,90.0,270.0,90.0,90.0,135.0,127.874985,180.0,146.30994,146.30994,142.12502,135.0,180.0,146.30994,146.30994,110.0,-50.0,20.0,30.0,20.0,10.0,-70.0,-20.0,-0.0,-50.0,50.0,-50.0,-0.0,20.0,-20.0,100.0,-20.0,30.0,50.0,10.0,-20.0,-60.0,-30.0,-10.0,-50.0
17606,7.28869,6.3737745,0.0,10.0,10.0,9.519716,8.838835,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,16.298006,14.252193,10.0,14.142136,14.142136,15.103807,12.869538,10.0,14.142136,14.142136,59.036243,78.69007,270.0,90.0,90.0,66.80141,81.869896,270.0,90.0,90.0,90.0,90.0,270.0,90.0,90.0,147.52881,142.12502,180.0,135.0,135.0,155.55605,150.94539,180.0,135.0,135.0,-0.0,-10.0,-0.0,20.0,-20.0,30.0,-20.0,-0.0,20.0,-20.0,20.0,-20.0,-0.0,20.0,-20.0,50.0,-0.0,20.0,40.0,-0.0,-20.0,-30.0,-20.0,-0.0,-40.0
17620,81.394104,81.394104,80.0,77.86206,72.8869,81.394104,81.394104,80.0,78.501595,73.569695,15.0,15.0,0.0,15.0,15.0,50.621143,55.33986,55.0,57.906174,60.337593,52.55949,57.118298,55.0,57.36397,59.817432,349.38034,349.38034,0.0,5.52754,5.9061413,349.38034,349.38034,0.0,9.162347,9.782407,270.0,270.0,270.0,90.0,90.0,339.77515,341.56506,0.0,13.736268,13.172553,334.65384,336.80142,0.0,11.309933,10.840305,-190.0,-130.0,-160.0,-150.0,-150.0,130.0,190.0,160.0,190.0,110.0,-30.0,30.0,-0.0,30.0,-30.0,-120.0,-80.0,-110.0,-80.0,-150.0,40.0,160.0,110.0,130.0,100.0
17624,12.747549,7.9056945,5.0,7.28869,6.3737745,14.57738,10.606602,5.0,9.519716,8.838835,10.0,10.0,0.0,10.0,10.0,11.18034,11.18034,5.0,7.9056945,7.9056945,11.18034,11.18034,5.0,3.535534,3.535534,191.30994,198.43495,180.0,239.03624,258.69006,210.96376,225.0,180.0,246.8014,261.8699,270.0,270.0,270.0,270.0,270.0,296.56506,296.56506,0.0,288.43494,251.56505,296.56506,296.56506,0.0,315.0,225.0,30.0,10.0,10.0,-0.0,10.0,-50.0,10.0,-10.0,-30.0,20.0,-20.0,20.0,-0.0,-20.0,20.0,-30.0,10.0,-10.0,-30.0,30.0,-10.0,30.0,10.0,10.0,-10.0
17625,25.739077,30.207615,30.0,34.820972,39.528473,23.717083,28.504387,30.0,33.35416,38.242645,5.0,5.0,0.0,5.0,5.0,26.516504,28.993534,30.0,30.413813,30.413813,26.279745,28.77716,30.0,30.413813,30.413813,209.05461,204.44395,180.0,201.0375,198.43495,198.43495,195.25511,180.0,192.99461,191.30994,270.0,270.0,270.0,270.0,270.0,188.1301,187.43141,180.0,189.46233,189.46233,182.72632,182.48955,180.0,189.46233,189.46233,10.0,90.0,60.0,30.0,110.0,-50.0,-50.0,-60.0,-70.0,-70.0,-10.0,10.0,-0.0,-10.0,10.0,40.0,70.0,60.0,50.0,70.0,-50.0,-60.0,-60.0,-70.0,-50.0
17626,5.0,5.0,5.0,3.9528472,1.767767,5.0,5.0,5.0,5.303301,3.9528472,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,7.28869,6.3737745,5.0,5.0,5.0,9.519716,8.838835,180.0,180.0,180.0,198.43495,225.0,180.0,180.0,180.0,225.0,251.56505,270.0,270.0,270.0,270.0,270.0,180.0,180.0,180.0,239.03624,258.69006,180.0,180.0,180.0,246.8014,261.8699,10.0,10.0,10.0,10.0,-0.0,-10.0,-10.0,-10.0,-20.0,10.0,-0.0,-0.0,-0.0,-10.0,10.0,10.0,10.0,10.0,-0.0,10.0,-10.0,-10.0,-10.0,-30.0,20.0
17627,25.0,18.027756,5.0,11.319232,17.765839,20.615528,11.18034,5.0,23.782873,27.443123,0.0,0.0,0.0,30.0,30.0,7.071068,15.811389,20.0,41.268936,45.995926,15.811389,21.213203,20.0,47.598583,51.750607,143.1301,123.69007,180.0,276.34018,320.7106,165.96376,153.43495,180.0,273.0128,300.06857,270.0,270.0,270.0,270.0,270.0,315.0,341.56506,0.0,305.1342,312.7974,288.43494,315.0,0.0,299.93152,307.1467,90.0,-30.0,10.0,-0.0,-30.0,-50.0,-10.0,-10.0,-70.0,100.0,-0.0,-0.0,-0.0,-60.0,60.0,-0.0,-40.0,-40.0,-100.0,-10.0,-40.0,80.0,40.0,-50.0,160.0
17631,8.838835,9.519716,5.0,15.103807,16.298006,6.3737745,7.28869,5.0,12.869538,14.252193,5.0,5.0,0.0,10.0,10.0,7.9056945,12.747549,15.0,19.039433,23.717083,7.9056945,12.747549,15.0,17.67767,22.638464,261.8699,246.8014,180.0,245.55605,237.52881,258.69006,239.03624,180.0,240.94539,232.12502,270.0,270.0,270.0,270.0,270.0,198.43495,191.30994,180.0,203.1986,198.43495,161.56505,168.69006,180.0,188.1301,186.3402,-20.0,30.0,10.0,-20.0,50.0,-10.0,-0.0,-10.0,-30.0,-0.0,-10.0,10.0,-0.0,-20.0,20.0,-0.0,40.0,30.0,10.0,70.0,-0.0,-40.0,-30.0,-30.0,-50.0
17632,43.156693,44.300114,15.0,75.02083,74.60312,48.08846,49.117207,15.0,72.56463,72.13269,50.0,50.0,0.0,70.0,70.0,51.629692,51.991585,10.0,67.91539,67.54628,54.112152,54.457554,10.0,62.94839,62.54998,280.00797,286.38953,0.0,280.561,278.6732,278.97263,284.74356,0.0,280.9228,278.97263,270.0,270.0,270.0,270.0,270.0,276.95297,279.68878,0.0,276.34018,272.1211,276.6325,279.24612,0.0,276.84277,272.29062,-90.0,50.0,-30.0,-180.0,130.0,-90.0,130.0,30.0,-110.0,160.0,-100.0,100.0,-0.0,-140.0,140.0,-110.0,80.0,-20.0,-160.0,140.0,-100.0,130.0,20.0,-100.0,120.0
17634,46.804115,48.25065,30.0,36.44345,38.608612,44.756287,46.266888,30.0,35.222507,37.45831,35.0,35.0,0.0,15.0,15.0,45.995926,47.72971,35.0,40.350033,47.598583,44.194176,45.995926,35.0,38.93103,46.40178,55.88553,53.426968,0.0,30.963757,29.054604,54.09028,51.581944,0.0,27.474432,25.709953,90.0,90.0,270.0,90.0,90.0,47.2026,45.0,0.0,16.189207,13.671308,45.0,42.7974,0.0,5.52754,4.635463,30.0,-140.0,-60.0,-20.0,-110.0,120.0,-10.0,60.0,90.0,40.0,70.0,-70.0,-0.0,30.0,-30.0,10.0,-140.0,-70.0,-40.0,-130.0,120.0,10.0,70.0,70.0,100.0
