,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use,elevation_1,elevation_6,elevation_11,elevation_16,elevation_21,elevation_2,elevation_7,elevation_12,elevation_17,elevation_22,elevation_3,elevation_8,elevation_13,elevation_18,elevation_23,elevation_4,elevation_9,elevation_14,elevation_19,elevation_24,elevation_5,elevation_10,elevation_15,elevation_20,elevation_25,slope_1,slope_6,slope_11,slope_16,slope_21,slope_2,slope_7,slope_12,slope_17,slope_22,slope_3,slope_8,slope_13,slope_18,slope_23,slope_4,slope_9,slope_14,slope_19,slope_24,slope_5,slope_10,slope_15,slope_20,slope_25,aspect_1,aspect_6,aspect_11,aspect_16,aspect_21,aspect_2,aspect_7,aspect_12,aspect_17,aspect_22,aspect_3,aspect_8,aspect_13,aspect_18,aspect_23,aspect_4,aspect_9,aspect_14,aspect_19,aspect_24,aspect_5,aspect_10,aspect_15,aspect_20,aspect_25,placurv_1,placurv_6,placurv_11,placurv_16,placurv_21,placurv_2,placurv_7,placurv_12,placurv_17,placurv_22,placurv_3,placurv_8,placurv_13,placurv_18,placurv_23,placurv_4,placurv_9,placurv_14,placurv_19,placurv_24,placurv_5,placurv_10,placurv_15,placurv_20,placurv_25,procurv_1,procurv_6,procurv_11,procurv_16,procurv_21,procurv_2,procurv_7,procurv_12,procurv_17,procurv_22,procurv_3,procurv_8,procurv_13,procurv_18,procurv_23,procurv_4,procurv_9,procurv_14,procurv_19,procurv_24,procurv_5,procurv_10,procurv_15,procurv_20,procurv_25
2105,100173,15.8536098,-89.84140529,0,2021-04-05,KTs,Cuaternario hasta el presente,Tierras Altas Sedimentarias,Rocas Sedimentarias,Sb,Aluvión,Buen Drenaje,Franco-Arcillosa o Franco-Arcillo-Limosa,Moderadamente Fina,Arcilla,Muy Fina,Bajo,Ultisoles,III,154.0,151.0,151.0,151.0,151.0,150.0,150.0,150.0,150.0,153.0,150.0,150.0,150.0,150.0,153.0,150.0,150.0,150.0,150.0,153.0,151.0,151.0,151.0,151.0,154.0,11.179986,8.1112795,2.8624053,2.263636,4.16874,9.468127,5.438008,2.8624053,6.457955,7.333393,0.0,0.0,0.0,8.530766,8.530766,2.263636,2.8624053,2.8624053,8.984877,8.984877,3.0357237,2.8624053,2.8624053,8.984877,8.984877,145.30484,127.874985,180.0,251.56505,329.03625,167.00539,156.8014,180.0,263.65982,299.0546,270.0,270.0,270.0,270.0,270.0,341.56506,0.0,0.0,288.43494,288.43494,315.0,0.0,0.0,288.43494,288.43494,40.8,10.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-16.5,30.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-12.0,-6.0,12.5,-0.0,-0.0,6.0,12.0,-29.2,30.5,-10.0,-10.0,20.0,40.0,10.0,10.0,23.5,-20.0,0.0,0.0,0.0,30.0,-30.0,10.0,10.0,10.0,28.0,-26.0,-7.5,-10.0,-10.0,26.0,-28.0
2106,100174,15.5337505,-88.75555215,0,2017-10-25,CPsr,Desde Cretácico para haberse sometido a procesos erosivos del Terciario al Presente.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Alfisoles,VI,99.0,97.0,97.0,97.0,102.0,99.0,97.0,97.0,97.0,102.0,111.0,110.0,110.0,110.0,113.0,111.0,110.0,110.0,110.0,113.0,111.0,110.0,110.0,110.0,113.0,5.710593,5.710593,0.0,14.036243,14.036243,31.745842,32.760345,33.02387,33.594757,24.044718,31.619799,32.641853,33.02387,32.985092,30.269156,2.8624053,2.8624053,0.0,8.530766,7.8609586,2.8624053,2.8624053,0.0,8.530766,8.530766,90.0,90.0,270.0,270.0,270.0,8.130102,7.8152933,0.0,340.2011,348.69006,5.826342,5.5993395,0.0,344.35776,9.865807,90.0,90.0,270.0,270.0,354.80557,90.0,90.0,270.0,270.0,270.0,-0.0,-0.0,0.0,-0.0,-0.0,15.405406,-23.294798,-0.0,-63.659794,-1.8835617,10.344828,-9.558824,-0.0,-24.101124,134.37839,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-20.0,20.0,0.0,50.0,-50.0,115.40541,126.70521,130.0,116.34021,58.11644,-119.655174,-129.55882,-130.0,-124.10113,-115.62162,-10.0,10.0,0.0,30.0,-30.0,-10.0,10.0,0.0,30.0,-30.0
2107,100176,15.88363241,-89.24842769,0,2019-03-22,Ksd,Cretácico superior al Terciario inferior.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Mollisoles,VII,263.0,270.0,270.0,270.0,270.0,245.0,244.0,244.0,244.0,244.0,245.0,244.0,244.0,244.0,244.0,245.0,244.0,244.0,244.0,244.0,241.0,224.0,224.0,224.0,224.0,45.86825,50.79185,52.431408,52.431408,54.47959,45.035767,50.21887,52.431408,52.431408,57.855392,2.8624053,2.8624053,0.0,0.0,51.34019,25.253208,39.968147,45.0,45.0,57.950516,25.453787,36.88517,39.202988,45.0,57.32651,194.03624,191.7683,180.0,180.0,214.8245,182.86241,182.38594,180.0,180.0,223.72697,90.0,90.0,270.0,270.0,270.0,147.99461,162.64598,180.0,180.0,230.0796,113.19859,119.981636,164.8989,180.0,228.9005,-23.646112,92.88276,-0.0,-0.0,-76.0,7.2000003,-11.905465,-0.0,-0.0,-284.78094,-0.0,-0.0,0.0,0.0,-0.0,-7.0588236,-13.466334,-0.0,-0.0,29.268293,-27.868853,-377.651,-0.0,-0.0,-207.96556,-133.64612,-237.11725,-260.0,-260.0,-206.0,177.2,258.09454,260.0,260.0,225.21907,-10.0,10.0,0.0,0.0,250.0,-57.058823,-203.46634,-200.0,-200.0,79.268295,-157.86885,162.349,200.0,200.0,222.03445
2108,100177,15.67873575,-89.74147118,0,2016-08-12,KTs,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII,457.0,457.0,468.0,468.0,468.0,457.0,457.0,468.0,468.0,468.0,471.0,471.0,479.0,479.0,479.0,471.0,471.0,479.0,479.0,479.0,471.0,471.0,479.0,479.0,479.0,0.0,28.810795,28.810795,0.0,28.810795,34.99202,39.949314,37.94081,28.810795,35.26439,34.99202,38.446842,36.222935,28.810795,32.63194,0.0,21.80141,21.80141,0.0,19.290047,11.309933,21.665758,20.45103,2.8624053,16.699244,270.0,270.0,270.0,270.0,270.0,0.0,322.275,318.90048,0.0,315.0,0.0,326.56012,323.32565,0.0,321.34018,270.0,270.0,270.0,270.0,270.0,0.0,294.14554,283.57043,0.0,270.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-128.73817,-7.5,-0.0,-120.0,-0.0,-32.307693,83.24325,-0.0,-27.176472,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-54.0,-10.461538,-0.0,-14.0,0.0,110.0,-110.0,0.0,110.0,140.0,121.26183,-7.5,110.0,100.0,-140.0,-92.30769,-106.75676,-110.0,-67.17647,0.0,80.0,-80.0,0.0,70.0,40.0,66.0,-80.46154,10.0,66.0
2110,100180,15.85633043,-89.74882261,0,2020-12-10,Ksd,Cuaternario hasta el presente,Tierras Altas Sedimentarias,Rocas Sedimentarias,Sb,Aluvión,Buen Drenaje,Franco-Arcillosa o Franco-Arcillo-Limosa,Moderadamente Fina,Arcilla,Muy Fina,Bajo,Ultisoles,III,177.0,177.0,177.0,172.0,172.0,177.0,177.0,177.0,172.0,172.0,177.0,177.0,177.0,172.0,172.0,174.0,174.0,174.0,169.0,169.0,174.0,174.0,174.0,169.0,169.0,13.089463,11.309933,17.75279,17.75279,11.309933,8.530766,0.0,14.036243,14.036243,0.0,11.976726,8.530766,16.253918,16.253918,6.762861,11.976726,8.530766,16.253918,16.253918,9.520203,8.530766,0.0,14.036243,14.036243,3.0357237,143.74615,180.0,128.6598,128.6598,180.0,90.0,270.0,90.0,90.0,270.0,135.0,180.0,120.96375,120.96375,198.43495,135.0,180.0,120.96375,120.96375,206.56505,90.0,270.0,90.0,90.0,225.0,-36.0,-0.0,-4.878049,-43.90244,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,35.294117,8.823529,-0.0,-30.0,-0.0,-8.823529,-35.294117,-30.0,-0.0,0.0,-0.0,-0.0,0.0,34.0,40.0,-14.878049,46.09756,40.0,30.0,0.0,-50.0,50.0,0.0,0.0,-30.0,-44.705883,28.82353,-30.0,30.0,30.0,-28.82353,44.705883,30.0,30.0,0.0,-50.0,50.0,0.0
2111,100181,15.78610371,-90.03843932,0,2022-05-11,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Mollisoles,VI,241.0,241.0,253.0,253.0,253.0,241.0,241.0,253.0,253.0,253.0,243.0,243.0,249.0,249.0,249.0,243.0,243.0,249.0,249.0,249.0,243.0,243.0,249.0,249.0,249.0,0.0,30.963757,30.963757,0.0,40.364536,5.710593,27.726187,28.354664,11.309933,40.828278,5.710593,20.597847,21.56813,11.309933,40.02451,1.0127504,16.699244,16.699244,0.0,38.65981,2.263636,15.909876,16.808315,8.530766,37.818928,270.0,270.0,270.0,270.0,270.0,0.0,272.72632,256.6075,180.0,255.76273,0.0,273.8141,251.56505,180.0,255.34325,225.0,270.0,270.0,270.0,270.0,198.43495,254.74489,245.55605,180.0,255.06859,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-27.567568,57.0,-0.0,30.098362,-0.0,3.0,4.6153846,-0.0,-45.882355,0.0,-0.0,-0.0,0.0,-0.0,12.5,9.72973,40.0,-0.0,27.169811,0.0,120.0,-120.0,0.0,170.0,20.0,112.432434,-103.0,-40.0,160.09836,-20.0,43.0,-15.384616,40.0,154.11765,0.0,60.0,-60.0,0.0,160.0,-7.5,59.729733,-50.0,-30.0,157.16982
2112,100182,15.58052601,-88.74884726,0,2019-08-26,Ksd,Desde Cretácico para haberse sometido a procesos erosivos del Terciario al Presente.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII,526.0,535.0,535.0,535.0,545.0,528.0,539.0,539.0,539.0,550.0,528.0,539.0,539.0,539.0,550.0,528.0,539.0,539.0,539.0,550.0,531.0,546.0,546.0,546.0,554.0,25.892502,20.195969,11.309933,29.021887,29.460201,28.354664,28.960081,11.309933,30.027113,30.4399,28.810795,28.810795,0.0,28.810795,28.810795,32.311535,33.854515,19.290047,30.974724,29.460201,36.05503,37.292076,19.290047,28.26449,26.464476,258.11133,279.7824,0.0,292.52057,294.8637,283.3925,288.43494,0.0,291.57132,293.83875,270.0,270.0,270.0,270.0,270.0,288.43494,296.56506,0.0,301.37302,294.8637,285.9454,293.19858,0.0,305.5377,298.49564,-107.30769,1.8556701,-0.0,-46.551723,-18.0,17.6,51.386864,-0.0,24.087591,62.157536,-0.0,-0.0,0.0,-0.0,-0.0,-30.461538,-9.058824,-0.0,-88.32353,-27.29927,26.923077,91.9708,-0.0,-2.4778762,42.0,92.69231,-48.14433,40.0,93.44828,-68.0,107.6,-98.613144,-40.0,94.08759,-97.84247,110.0,-110.0,0.0,110.0,-110.0,109.53846,-49.058823,70.0,91.676476,-97.29927,146.92308,-128.0292,-70.0,7.522124,-78.0
2113,100183,15.86227463,-89.50192619,0,2018-08-25,Ksd,Cretácico superior al Terciario inferior.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Inceptisoles,VII,163.0,163.0,163.0,155.0,155.0,163.0,163.0,163.0,155.0,155.0,153.0,153.0,153.0,146.0,146.0,153.0,153.0,153.0,146.0,146.0,153.0,153.0,153.0,146.0,146.0,5.710593,0.0,21.80141,21.80141,0.0,28.418774,26.565052,31.912418,31.10577,24.227745,28.26449,26.565052,31.278896,30.4399,24.227745,2.8624053,0.0,19.290047,19.290047,0.0,24.359556,24.227745,25.75761,21.271475,11.309933,90.0,270.0,90.0,90.0,270.0,173.3675,180.0,141.5198,140.04245,180.0,181.33221,180.0,143.36589,141.91122,180.0,270.0,270.0,90.0,90.0,270.0,186.3402,180.0,143.42697,132.39743,180.0,-0.0,0.0,-0.0,-0.0,0.0,-12.5,-0.0,90.243904,-2.4827588,-0.0,7.4257426,-0.0,16.442953,-75.11539,-0.0,-0.0,0.0,-0.0,-0.0,0.0,10.97561,-0.0,89.65385,23.692308,-0.0,20.0,0.0,-80.0,80.0,0.0,-92.5,-100.0,-89.756096,-12.4827585,-90.0,97.42574,100.0,46.442955,84.88461,90.0,-10.0,0.0,-70.0,70.0,0.0,-89.02439,-90.0,-70.34615,53.69231,-40.0
2114,100184,15.59933913,-88.83957756,0,2021-07-14,CPsr,Desde Cretácico para haberse sometido a procesos erosivos del Terciario al Presente.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII,131.0,131.0,136.0,136.0,136.0,131.0,131.0,136.0,136.0,136.0,131.0,131.0,136.0,136.0,136.0,129.0,129.0,130.0,130.0,130.0,129.0,129.0,130.0,130.0,130.0,28.810795,31.829342,32.760345,30.963757,32.512516,0.0,14.036243,14.036243,0.0,16.699244,5.710593,14.036243,17.75279,16.699244,23.620789,5.710593,10.2193775,15.069956,16.699244,28.147821,0.0,2.8624053,2.8624053,0.0,17.5484,180.0,205.01689,204.0755,180.0,205.55997,270.0,270.0,270.0,270.0,270.0,180.0,233.1301,218.6598,180.0,239.03624,180.0,213.69006,201.8014,180.0,232.59465,270.0,270.0,270.0,270.0,251.56505,-0.0,-58.39041,26.62722,-0.0,-76.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,17.241379,63.934425,-0.0,-15.0,-0.0,-4.0,11.351352,-0.0,-68.0,0.0,-0.0,-0.0,0.0,-0.0,110.0,101.60959,96.62722,120.0,104.0,0.0,50.0,-50.0,0.0,60.0,-20.0,47.24138,-46.065575,-60.0,-15.0,20.0,26.0,61.351353,60.0,112.0,0.0,10.0,-10.0,0.0,40.0
2115,100185,15.64419027,-89.69308222,0,2021-04-07,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Gp,Esquisto Arcilloso,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Regular,Inceptisoles,VI,301.0,305.0,305.0,305.0,308.0,301.0,305.0,305.0,305.0,308.0,295.0,295.0,295.0,295.0,301.0,295.0,295.0,295.0,295.0,301.0,295.0,295.0,295.0,295.0,301.0,11.309933,11.309933,0.0,8.530766,8.530766,20.846266,25.376934,26.565052,26.522022,23.290882,19.47122,24.359556,26.565052,28.004099,25.081528,0.0,0.0,0.0,16.699244,16.699244,4.5202274,2.0248682,0.0,13.797973,16.835445,270.0,270.0,270.0,270.0,270.0,203.1986,198.43495,180.0,202.0679,205.821,188.1301,186.3402,180.0,209.57784,214.11447,270.0,270.0,270.0,270.0,270.0,18.434948,45.0,270.0,255.25644,231.70984,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,55.172413,-0.0,-23.394495,30.775862,-0.0,-0.0,-0.0,-77.20589,-2.4705882,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,66.39344,40.0,-40.0,0.0,30.0,-30.0,-20.0,-84.82759,-100.0,-93.39449,-69.22414,60.0,100.0,100.0,82.79412,7.529412,0.0,0.0,0.0,60.0,-60.0,20.0,0.0,0.0,60.0,-43.60656
