,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
122,122,14.51916667,-90.62333333,1,2008-01-10,Qp,Plioceno al Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VI
133,133,14.63555556,-90.74722222,1,2008-01-28,Qp,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,II
165,165,14.84166667,-91.13694444,1,2008-03-25,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
188,188,14.62805556,-90.46472222,1,2008-04-07,Tv,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VII
200,200,14.65805556,-90.44361111,1,2008-04-13,Tv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VI
202,202,14.87972222,-91.45944444,1,2008-04-13,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,SA,-999,-999,-999,,-999,-999,-999,Entisoles,II
203,203,14.91111111,-91.36027778,1,2008-04-13,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,III
221,221,14.70166667,-90.50055556,1,2008-05-08,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
227,227,14.42861111,-91.80888889,1,2008-05-12,Qa,Cuaternario,Llanura Costera del Pacífico,Rocas Sedimentarias,Chm,Depósitos Marinos,Drenaje muy Pobre,Arcilla,Muy Fina,Arcilla,Muy Fina,Bajo,Vertisoles,II
233,233,14.58916667,-90.66305556,1,2008-05-19,Qp,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
235,235,14.63888889,-90.69222222,1,2008-05-19,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,IV
239,239,15.1675,-90.85138889,1,2008-05-21,Qp,Cuaternario,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,III
257,257,14.90583333,-91.78083333,1,2008-05-26,Qp,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Os,Ceniza Volcánica Pomácea,Drenaje Excesivo,Arena-Franca o Arena Suelta,Gruesa,Ceniza Volcánica,-999,Alto,Andisoles,VIII
263,263,14.24194444,-90.02888889,1,2008-05-31,Qp,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qa,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcilla,Muy Fina,Bajo,Andisoles,VI
274,274,14.29222222,-89.89777778,1,2008-06-01,Qv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,III
276,276,14.82333333,-91.34666667,1,2008-06-01,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,VII
286,286,14.79666667,-91.45472222,1,2008-06-02,Tv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Al,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Moderadamente Fina,-999,-999,Alto,Andisoles,VIII
287,287,14.81861111,-91.45277778,1,2008-06-02,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qeq,-999,-999,-999,,-999,-999,-999,Entisoles,VII
288,288,14.70527778,-91.09944444,1,2008-06-02,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tn,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillo-Arenosa o Franco-Arenosa,Moderadamente Fina,Alto,Andisoles,III
293,293,14.83916667,-91.5425,1,2008-06-03,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qe,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arenosa a Franco-Arenosa Fina,Media,Bajo,Andisoles,II
295,295,15.28694444,-91.09305556,1,2008-06-03,Qp,Terciario superior al Cuaternario,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Sa,Granito Suave y Gneis,Buen Drenaje,Franco-Arenosa,Media,Franco-Arenosa-Fina,Media,Alto,Inceptisoles,VII
296,296,14.82583333,-91.85166667,1,2008-06-03,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
298,298,14.96361111,-91.82194444,1,2008-06-03,Qp,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qe,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arenosa a Franco-Arenosa Fina,Media,Bajo,Andisoles,IV
316,316,14.74361111,-91.10944444,1,2008-06-03,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
323,323,14.46611111,90.44083333,1,2008-06-03,,,,,,,,,,,,,,
324,324,14.66222222,-90.82083333,1,2008-06-04,Qp,"Pleistoceno al Holoceno, es decir del período Cuaternario.",Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,II
327,327,14.75111111,-91.1625,1,2008-06-04,Tv,La caldera posiblemente se formó a finales del terciario.,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Entisoles,VIII
328,328,14.83166667,-91.31194444,1,2008-06-04,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
329,329,14.84722222,-91.34,1,2008-06-04,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
335,335,14.57194444,-90.565,1,2008-06-05,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VI
336,336,14.55666667,-90.62861111,1,2008-06-05,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VII
337,337,14.82583333,-91.33305556,1,2008-06-05,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
338,338,15.42083333,-89.81305556,1,2008-06-05,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,IV
339,339,15.42055556,-89.82083333,1,2008-06-05,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
340,340,15.41888889,-89.72305556,1,2008-06-05,CPsr ?,Creatico superior en el Terciario,Tierras Altas Sedimentarias,,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
342,342,14.57055556,-90.68972222,1,2008-06-07,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
343,343,14.55416667,-90.94416667,1,2008-06-07,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Ye,Ceniza Volcánica,Buen Drenaje,Franco-Gravosa,Moderadamente Fina,Ceniza Volcánica,--,Alto,Entisoles,VII
344,344,14.68527778,-90.52277778,1,2008-06-07,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
346,346,14.77416667,-91.18277778,1,2008-06-08,Qp,Finales del Terciario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
347,347,14.63361111,-89.99138889,1,2008-06-08,Qa,Cuaternario reciente,Tierras Altas Volcánicas,Rocas Sedimentarias,Chx,Ceniza Volcánica Pomácea,Drenaje Excesivo,Franco-Limosa a Franco-Arenosa Fina o Muy Fina,Media,Arcilla o Franco-Arcillosa,Moderadamente Fina,Regular a Alto,Entisoles,III
355,355,14.19333333,-90.69666667,1,2008-06-08,Qa,Cuaternario,Llanura Costera del Pacífico,Rocas Sedimentarias,Pp,Depósitos Marinos o Aluviales,Drenaje muy Pobre,Franco-Arenosa Muy Fina,Media,Arcilla,Muy Fina,Bajo,Inceptisoles,III
356,356,14.6675,-91.61861111,1,2008-06-09,Qv,Cuaternario reciente.,Pendiente Volcánica Reciente,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,III
357,357,14.65611111,-90.52944444,1,2008-06-09,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Alfisoles,III
359,359,14.67833333,-90.52166667,1,2008-06-10,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
361,361,14.74611111,-91.89027778,1,2008-06-11,Qv,Cuaternario reciente.,Pendiente Volcánica Reciente,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VI
373,373,14.26194444,-89.8625,1,2008-06-13,Qp,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chj,Ceniza Volcánica,Drenaje muy Pobre,Arcilla,Muy Fina,Arcilla,Muy Fina,Bajo,Vertisoles,II
395,395,14.85333333,-91.15805556,1,2008-06-18,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
397,397,14.91166667,-90.64666667,1,2008-06-18,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ac,Roca Serpentina,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcilla o Franco-Arcillosa,Muy Fina,Alto,Entisoles,VI
398,398,15.35333333,-91.07861111,1,2008-06-18,Qp,Terciario,Tierras Altas Sedimentarias,ROCAS IGNEAS Y METAMORFICAS,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,VI
400,400,15.31944444,-90.57583333,1,2008-06-18,Ksd,"Finales Creático, principios del Terciario, fines del Plioceno y el Cuaternario",Tierras Altas Cristalinas,Rocas Sedimentarias,Chy,Caliza,Drenaje Excesivo,Arcilla,Muy Fina,Caliza Fracturada,-999,Alto,Entisoles,VII
410,410,15.24944444,-89.63444444,1,2008-06-23,CPsr,Mesozóico hasta el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII
435,435,15.10555556,-90.81944444,1,2008-07-03,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ci,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa,Moderadamente Fina,Regular,Inceptisoles,VII
436,436,15.195,-90.83138889,1,2008-07-03,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Chg,Esquisto,Drenaje Excesivo,Franco-Arenosa-Gravosa a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa Gravosa,Moderadamente Fina,Alto,Entisoles,VII
438,438,15.18333333,-90.83,1,2008-07-03,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Chg,Esquisto,Drenaje Excesivo,Franco-Arenosa-Gravosa a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa Gravosa,Moderadamente Fina,Alto,Entisoles,VII
442,442,14.69166667,-91.11555556,1,2008-07-03,Tv,La caldera posiblemente se formó a finales del terciario.,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Entisoles,VIII
443,443,14.82,89.37277778,1,2008-07-04,,,,,,,,,,,,,,
471,471,14.92666667,-90.66444444,1,2008-07-05,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ac,Roca Serpentina,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcilla o Franco-Arcillosa,Muy Fina,Alto,Entisoles,VI
474,474,15.03138889,-91.13888889,1,2008-07-05,Qp,Pleistoceno Holoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qi,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillo-arenosa,Moderadamente Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII
475,475,14.96166667,-90.66083333,1,2008-07-05,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ci,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa,Moderadamente Fina,Regular,Inceptisoles,VII
476,476,14.62916667,-91.45722222,1,2008-07-05,Qv,Cuaternario reciente.,Pendiente Volcánica Reciente,ROCAS IGNEAS Y METAMORFICAS,Sx,Ceniza Volcánica,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa a Franco-Arcillo-Limosa,Media,Regular a Alto,Andisoles,IV
477,477,15.46194444,-91.92555556,1,2008-07-05,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tq,Caliza,Buen Drenaje,Franco-Limosa,Media,Arcilla,Muy Fina,Alto,Mollisoles,VII
478,478,14.665,-91.11,1,2008-07-05,Tv,La caldera posiblemente se formó a finales del terciario.,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Entisoles,VIII
486,486,14.93388889,-90.67777778,1,2008-07-06,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ci,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa,Moderadamente Fina,Regular,Inceptisoles,VII
487,487,15.35305556,-90.74916667,1,2008-07-06,Pc,"Finales Creático, principios del Terciario, fines del Plioceno y el Cuaternario",Tierras Altas Cristalinas,Rocas Sedimentarias,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,VII
491,491,14.67111111,-90.57666667,1,2008-07-07,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
500,500,15.47472222,-91.09388889,1,2008-07-08,JKts,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Ca,Caliza y Ceniza Volcánica,Buen Drenaje,Franca a Franco-Limosa,Media,Franco-Limosa a Franco-Arcillosa,Media,Regular a Alto,Mollisoles,III
506,506,15.51166667,-91.12777778,1,2008-07-10,CPsr,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Ca,Caliza y Ceniza Volcánica,Buen Drenaje,Franca a Franco-Limosa,Media,Franco-Limosa a Franco-Arcillosa,Media,Regular a Alto,Mollisoles,VII
509,509,14.81694444,-91.31,1,2008-07-10,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
510,510,14.665,-90.47777778,1,2008-07-11,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
518,518,14.85333333,-91.15805556,1,2008-07-12,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
519,519,14.69944444,-90.5,1,2008-07-14,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
521,521,14.595,-90.53083333,1,2008-07-14,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,III
522,522,14.61305556,-90.62194444,1,2008-07-15,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gtp,Ceniza Volcánica,-999,-999,,-999,-999,Muy Alto,Inceptisoles,VII
523,523,14.63472222,-90.59944444,1,2008-07-15,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,III
524,524,15.09055556,-90.44611111,1,2008-07-15,CPsr,Terciario hasta el presente,Tierras Altas Cristalinas,Rocas Sedimentarias,Chg,Esquisto,Drenaje Excesivo,Franco-Arenosa-Gravosa a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa Gravosa,Moderadamente Fina,Alto,Entisoles,VII
525,525,15.08,-89.34777778,1,2008-07-15,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Za,Roca de Granito y Gneis Intemperizado,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Inceptisoles,VII
526,526,15.07305556,-89.34277778,1,2008-07-15,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Za,Roca de Granito y Gneis Intemperizado,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Inceptisoles,VII
527,527,14.94222222,-91.4475,1,2008-07-15,Qp,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,VI
528,528,15.07972222,-89.34833333,1,2008-07-16,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Za,Roca de Granito y Gneis Intemperizado,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Inceptisoles,VII
539,539,15.83388889,-91.45083333,1,2008-07-19,Ksd,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Qt,Caliza,Buen Drenaje,Franco-Arcillo-Turbosa,Media,Franco-Arcillosa,Moderadamente Fina,Alto,Inceptisoles,VII
545,545,14.66916667,-90.48166667,1,2008-07-20,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Alfisoles,VI
553,553,15.64055556,-91.48277778,1,2008-07-20,Ksd,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Ic,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Inceptisoles,VII
555,555,14.995,-89.29416667,1,2008-07-20,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ta,Brecha de Toba Volcánica o Pórfido Andesítico,Buen Drenaje,Franco-Limosa a Franco-Arcillosa,Media,Arcilla,Muy Fina,Alto,Inceptisoles,VII
558,558,14.98777778,-90.25194444,1,2008-07-20,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Chg,Esquisto,Drenaje Excesivo,Franco-Arenosa-Gravosa a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa Gravosa,Moderadamente Fina,Alto,Entisoles,VII
564,564,14.58694444,-90.55861111,1,2008-07-20,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VI
585,585,14.84555556,-91.13083333,1,2008-07-22,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VI
586,586,14.85055556,-91.05027778,1,2008-07-22,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
597,597,14.4325,-90.50416667,1,2008-07-24,Tv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Mr,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Franco-Arcillosa a Arcilla,Moderadamente Fina,Regular,Andisoles,VII
598,598,14.96638889,-89.29333333,1,2008-07-24,I,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ab,"Granito, Gneis y Esquisto",Buen Drenaje,Franco-Arcillo-Arenosa Fina a Franco-Limosa,Moderadamente Fina,Franco-Arcillosa a Franco-Arcillo-Micácea,Moderadamente Fina,Alto,Inceptisoles,VII
599,599,14.57666667,-90.57666667,1,2008-07-24,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
