,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
5143,5143,14.47166667,-90.53222222,1,2010-07-27,Qa,Cuaternario,Tierras Altas Volcánicas,Rocas Sedimentarias,SA,-999,-999,-999,,-999,-999,-999,Mollisoles,II
5146,5146,15.22527778,-91.49888889,1,2010-07-28,Pzm,Terciario Temprano al Cuaternario Reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Sa,Granito Suave y Gneis,Buen Drenaje,Franco-Arenosa,Media,Franco-Arenosa-Fina,Media,Alto,Entisoles,VII
5147,5147,15.32472222,-91.46944444,1,2010-07-28,Qp,Cuaternario,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Chx,Ceniza Volcánica Pomácea,Drenaje Excesivo,Franco-Limosa a Franco-Arenosa Fina o Muy Fina,Media,Arcilla o Franco-Arcillosa,Moderadamente Fina,Regular a Alto,Entisoles,III
5150,5150,15.49333333,-91.76555556,1,2010-07-30,CPsr,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Chy,Caliza,Drenaje Excesivo,Arcilla,Muy Fina,Caliza Fracturada,-999,Alto,Entisoles,VII
5156,5156,14.76305556,-91.16861111,1,2010-08-03,Tv,La caldera posiblemente se formó a finales del terciario.,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VI
5158,5158,15.40055556,89.64111111,1,2010-08-03,,,,,,,,,,,,,,
5161,5161,15.33805556,-89.74277778,1,2010-08-03,Pzm,Creatico superior en el Terciario,Tierras Altas Sedimentarias,ROCAS IGNEAS Y METAMORFICAS,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VII
5162,5162,14.27305556,-90.30777778,1,2010-08-03,Tv,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cu,Flujo Lodoso o Lahar Máfico,Buen Drenaje,Franca o Franca-Arcillosa,Media,Arcilla o Franco-Arcillosa,Moderadamente Fina,Regular a Alto,Inceptisoles,VII
5180,5180,14.81527778,-91.49416667,1,2010-08-05,Qv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Al,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Moderadamente Fina,-999,-999,Alto,Andisoles,VII
5184,5184,15.5025,-91.79833333,1,2010-08-05,CPsr,Emergio en el Terciario y se ha seguido moldeando después de la deposición del Cretácico.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Chy,Caliza,Drenaje Excesivo,Arcilla,Muy Fina,Caliza Fracturada,-999,Alto,Entisoles,VII
5185,5185,14.56833333,-90.73138889,1,2010-08-05,Qa,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,Rocas Sedimentarias,SV,-999,-999,-999,,-999,-999,-999,Andisoles,VIII
5186,5186,15.46194444,-91.66611111,1,2010-08-05,CPsr,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Chy,Caliza,Drenaje Excesivo,Arcilla,Muy Fina,Caliza Fracturada,-999,Alto,Entisoles,VII
5187,5187,14.84194444,-91.37222222,1,2010-08-05,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VII
5191,5191,14.89388889,-90.98194444,1,2010-08-06,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
5192,5192,15.44305556,-91.74805556,1,2010-08-06,CPsr,Emergio en el Terciario y se ha seguido moldeando después de la deposición del Cretácico.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Sa,Granito Suave y Gneis,Buen Drenaje,Franco-Arenosa,Media,Franco-Arenosa-Fina,Media,Alto,Entisoles,VII
5195,5195,15.53722222,-91.71416667,1,2010-08-06,CPsr,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Chy,Caliza,Drenaje Excesivo,Arcilla,Muy Fina,Caliza Fracturada,-999,Alto,Entisoles,VII
5196,5196,14.68777778,-90.49027778,1,2010-08-07,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
5197,5197,14.84833333,-91.13472222,1,2010-08-07,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
5198,5198,14.71777778,-90.95944444,1,2010-08-07,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
5199,5199,14.7725,-91.50083333,1,2010-08-07,Qv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pl,Material volcánico y Máfico Mezclado,Buen Drenaje,Franco-Arenosa,Media,"Franco-Arenosa, Franco-Limosa o Franco-Arcillosa",Media,Alto,Andisoles,VIII
5202,5202,14.50277778,-91.31638889,1,2010-08-08,Qa,Cuaternario reciente.,Pendiente Volcánica Reciente,Rocas Sedimentarias,Sx,Ceniza Volcánica,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa a Franco-Arcillo-Limosa,Media,Regular a Alto,Andisoles,III
5203,5203,14.54333333,91.32694444,1,2010-08-08,,,,,,,,,,,,,,
5205,5205,14.53611111,-91.37333333,1,2010-08-08,Qa,Cuaternario reciente.,Pendiente Volcánica Reciente,Rocas Sedimentarias,Cz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa Fina,Media,-999,-999,Alto,Inceptisoles,III
5207,5207,15.59527778,-91.94305556,1,2010-08-09,Pc,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Chy,Caliza,Drenaje Excesivo,Arcilla,Muy Fina,Caliza Fracturada,-999,Alto,Entisoles,VII
