,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
954,221.4,9.276800772000001,167.85727432,3.0209204800000005,10.62092048,14.525555411353707,6,121,1,1,27,4,2,7,4,4,2,53,0.012618296529968454,0.00010869565217391303,0.49423151770244367,0.0077623683,0.04867403291007912,0.041417736838296436,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
5829,2454.68,13.386405532,230.296622,0.8894707600000002,10.88947096,80.22785574756563,2,44,11,1,11,3,41,5,11,7,1,35,0.913588850174216,0.9946769789043673,0.5051299987967912,0.99740976,0.9273705863966797,0.9822944665824578,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
9363,1522.8,8.075648168000003,120.67009227999999,-0.5307692799999999,5.4692308,7.36624620296061,6,144,22,1,37,3,62,4,2,8,2,1,0.8048780487804879,0.9922148722457507,0.5023792591906165,0.98579836,0.38951345662045916,0.6333020537217128,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Low,High,1
7675,2081.28,22.223239680000002,153.16984996000002,5.090114528,-9.309886080000004,46.37864348478615,2,100,44,1,28,3,53,4,2,8,1,9,0.913588850174216,0.9965429184070964,0.5029633777244422,0.9991617,0.8659021238593481,0.9364980254191071,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
8704,1345.68,23.687587880000006,202.1058956,-5.27358978,-2.47359072,46.2782424101606,3,40,8,2,1,5,14,9,2,7,2,53,0.913588850174216,0.9983693528693527,0.5048375947813316,0.9971065,0.4849275177864967,0.8644803364040082,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,Very High,1
4801,66.6,6.336884256000001,211.09368799999996,0.41999999999999993,0.42,75.37235218752176,3,145,19,1,29,3,54,4,12,2,2,43,0.14954682779456194,0.002680844170870551,0.4969465223239645,0.0027233646,0.11990608030658031,0.08595433125221882,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
6695,1863.52,2.7362819160000003,269.5933028,0.16,0.56,97.17095195688309,2,88,12,1,23,4,36,5,9,3,1,9,0.913588850174216,0.9998538410275052,0.5043480443048637,0.9963599,0.841196452779015,0.9523079148741214,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
1015,168.6,2.334683024,177.055904,-1.16,0.84,89.12535248976201,6,121,1,1,27,4,2,7,4,3,2,12,0.14954682779456194,0.004140754262077792,0.496999771953801,0.005591924,0.16190203644885556,0.06621736933850808,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
5177,446.68,25.20030276,203.8451512,-0.7527131919999992,1.6472871040000008,3.326578438282013,3,124,58,1,1,5,2,7,2,7,1,50,0.03859649122807018,0.00045454545454545455,0.49565124501717145,0.00831371,0.1136967639891668,0.04804741701141307,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3135,30.44,1.9465766639999997,240.05590519999998,-1.06,-0.66,0.2957765180617571,5,17,20,7,23,4,37,5,4,1,2,43,0.012618296529968454,0.0,0.48807038206186437,0.00025079458,0.027937284295867636,0.041838857474870386,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
