,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
8767,767.28,17.37882696,175.30066720000002,-4.106221104,-2.9062215000000005,380.6055441200733,4,60,28,1,37,3,32,5,8,7,1,53,0.3978494623655914,0.9457925132383699,0.5011631173483877,0.8894275,0.9958310953251391,0.7725093283478428,Medium,High,Medium,High,High,High,Low,Very High,Medium,Very High,Very High,High,1
3381,169.2,5.117626372000001,259.3754076,0.5881448,-4.21185516,10.258042484521866,7,86,49,3,1,5,3,7,3,4,2,9,0.012618296529968454,0.0,0.49010318916645035,0.0003432686,0.028023905746061947,0.025513734794014278,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
2994,500.12,8.117210927999999,219.61412600000003,4.68925148,-8.91074848,8.194423930719495,5,54,8,2,1,5,2,7,2,7,2,53,0.2754491017964072,0.0,0.49482746735777966,0.0031411885,0.07547477551621404,0.06429394133085631,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4576,258.6,6.504379424000002,95.46029736,1.232941184,-6.767058840000001,18.14578689541668,5,163,49,1,1,5,2,7,2,6,2,64,0.012618296529968454,0.0,0.4917231583208808,0.00073075545,0.03148023213344521,0.04296596967404597,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
5879,2314.68,9.942212624000001,123.23830774,5.1183656399999995,-8.08163408,70.78926702216268,2,125,12,1,23,4,2,7,2,7,1,55,0.913588850174216,0.9643038709812376,0.5022614906902636,0.95791674,0.842296796335046,0.9542844459402702,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
3673,1006.2,18.831834240000006,253.89978319999994,-4.081716388,-4.08171656,14.274047784507276,3,26,22,2,35,4,35,5,2,7,1,63,0.22448979591836735,0.005522411428661429,0.4974996760945379,0.04462725,0.37444219377641447,0.19627190039548728,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,Low,Very Low,0
3860,1024.08,25.31698192,214.36572,9.508925112,-6.091074760000001,0.0,3,81,38,1,1,5,2,7,2,7,1,77,0.09595959595959595,0.00025,0.49282982487648663,0.006723858,0.2035068417276727,0.12528280918828982,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
4138,230.44,6.788129284,148.59160871999998,1.38,-0.22,0.0,3,26,22,2,35,4,35,5,2,6,1,54,0.012618296529968454,0.004997252747252746,0.4921800167483591,0.015825698,0.19268896835034652,0.052388303044260856,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
552,2329.12,14.888277692,112.54693132800001,0.3350954920000001,15.93509556,55.665213730186224,5,152,8,1,37,3,2,7,2,8,1,26,0.913588850174216,0.033368752081252076,0.5022670498053479,0.071583845,0.8386101433101492,0.897371523760896,High,Low,Medium,Low,High,High,Very High,Very Low,Medium,Very Low,Very High,Very High,0
880,2265.56,22.26286592,84.18542152,2.108618144,-3.09138164,7.959397877566516,5,19,10,1,15,3,61,4,10,6,2,53,0.8048780487804879,0.021712593370681606,0.5006800967554624,0.065762565,0.5388563644281865,0.696713849008734,High,Low,Medium,Low,Medium,High,Very High,Very Low,Medium,Very Low,Medium,High,0
7474,2012.6,23.166215360000002,226.50357480000002,2.9102131600000005,8.910212999999999,85.2917381376028,2,100,44,1,28,3,53,4,2,8,1,9,0.913588850174216,0.9944317871655802,0.5043453072654519,0.9987778,0.9209549577956492,0.9762917277704882,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
2505,1.36,2.5008653720000003,229.5811088,-1.3,0.7,0.6217532679438591,7,72,47,5,1,5,2,7,4,2,2,36,0.012618296529968454,0.0,0.48907666643251263,0.00021103148,0.012184784644830195,0.023893112059184027,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3861,119.96,8.831215064,209.97923280000003,1.9789140400000003,-1.22108604,2.313585110940039,7,77,49,1,1,5,2,7,4,3,2,66,0.012618296529968454,0.0,0.4895980877908639,0.00028145546,0.013708413475954981,0.023690246394703275,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4399,323.8,16.22812566,131.177057,-1.991412796,3.6085873200000003,7.949644256383181,5,24,8,1,1,5,2,7,2,7,2,4,0.012618296529968454,0.0,0.49397638878729644,0.0008926955,0.13633956611083864,0.0666144187376522,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
7562,2275.28,21.63885372,158.47168520000002,-3.942690548,-1.5426904399999979,64.74671341013163,3,119,33,1,28,3,54,4,2,7,1,60,0.913588850174216,0.9755807454515433,0.503242377275783,0.97157854,0.8123938582048164,0.8742197620396379,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
7959,1210.96,9.445516052000002,125.98699015999999,1.3752941199999997,0.17529403999999998,47.10772156715393,3,96,37,2,31,3,47,4,2,6,1,36,0.913588850174216,0.9879126199195616,0.5035283905353781,0.9819266,0.5471842534538621,0.6660585664006273,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1
8979,29.04,5.110041036000001,127.61951804,0.4657450800000001,8.06574512,0.0,1,24,8,1,1,5,2,7,2,6,2,78,0.012618296529968454,0.991348901098901,0.49238234163189154,0.7252649,0.060901478948999076,0.06258184057388244,Low,High,Medium,High,Low,Low,Very Low,Very High,Medium,High,Very Low,Very Low,1
4255,638.84,11.407812715999999,111.306479,0.47058824,-7.929411760000001,4.559972289949656,5,24,8,1,1,5,2,7,2,7,2,53,0.03859649122807018,8.293838862559243e-05,0.4943319072796822,0.0020283523,0.10323476030236234,0.08034574624940322,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
9116,113.0,5.726497675999999,175.2648916,-0.2,-0.2,77.33543681912124,6,144,22,1,37,3,62,4,2,2,2,1,0.5957446808510638,0.9988377192982455,0.49871010854160036,0.9270697,0.16464522583222216,0.1443603599977426,Medium,High,Medium,High,Low,Low,Medium,Very High,Medium,Very High,Very Low,Very Low,1
9256,1677.96,20.884538315999997,106.27036775999998,0.47660216,24.076602160000004,49.04222739860416,3,40,8,2,1,5,14,9,2,7,2,53,0.913588850174216,0.9990009846223432,0.5052217199679016,0.998686,0.6786489969636291,0.9304666978207811,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
4737,88.68,3.5441400880000016,241.1681708,-0.02,-0.02,28.681019246578217,1,35,49,7,1,5,2,7,4,6,2,67,0.012618296529968454,0.0,0.4924377399573809,0.0001814072,0.06122589186287051,0.06523740236329979,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
1752,32.12,5.419118492,173.966704,-2.09058824,3.1094117600000004,2.098854696378112,1,24,8,1,1,5,2,7,2,7,2,69,0.012618296529968454,0.00020491803278688522,0.49370997284836826,0.004849042,0.06795419546006516,0.06322643501604701,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4937,16.8,3.905011784,237.838214,0.64,-0.16,136.58104069530964,5,154,19,1,11,3,23,4,4,2,2,43,0.14954682779456194,0.0003333333333333333,0.49499892012627106,0.0010926625,0.11305944188379628,0.05630857267632913,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4216,151.76,5.968232051999999,166.64800400000001,-0.19384615999999993,-3.3938461600000007,26.78854893986136,2,91,43,1,37,3,56,4,4,1,2,46,0.09954751131221719,0.0,0.49405925376148835,0.014705671,0.06877180885881247,0.04903689344944603,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
6358,2009.08,1.196432864,211.62239864,0.5,-1.1,225.9464683458209,1,111,12,1,22,4,2,7,2,7,1,37,0.913588850174216,0.9978044802867383,0.5061491928300159,0.9790603,0.9847826219678724,0.980616374079553,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
7819,1590.68,4.634278124,124.86489255999999,0.2,0.2,67.71783534809947,2,11,32,1,34,3,48,6,2,4,1,30,0.913588850174216,0.9968495532314167,0.5032852049818812,0.9743405,0.8314046108129536,0.9074208698679381,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
8891,1971.64,16.000251124000002,219.8245136,3.7878114800000002,-3.4121887599999985,27.064433028921485,5,19,10,1,15,3,61,4,10,7,2,26,0.7668539325842697,0.9878213545532154,0.5020646731316075,0.98529494,0.5894805279541524,0.8832938663568338,High,High,Medium,High,Medium,High,High,Very High,Medium,Very High,Medium,Very High,1
1014,233.72,20.261409676,123.65992008,-2.2009603600000007,30.599039119999997,55.22024668939412,5,24,8,1,1,5,2,7,2,7,2,4,0.14954682779456194,9.615384615384615e-05,0.49571054586319313,0.0034296904,0.2937671655350328,0.13596542528076516,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
7433,2769.36,17.911735052000004,173.46316160000003,0.3471190400000003,-22.052881040000003,104.37120146863164,3,40,8,2,1,5,14,9,2,7,2,53,0.913588850174216,0.9996833333333334,0.5056159451791579,0.994055,0.9158950309092192,0.9770923401096258,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
5676,71.0,0.7813902999999999,257.68500079999995,0.0,2.8,72.32374990358949,3,145,19,1,29,3,54,4,12,2,2,43,0.14954682779456194,0.0,0.49464714077216865,0.0045882743,0.10323676371116587,0.08649735426547005,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
9717,2462.96,24.983401360000006,76.98853036,-14.329741860000002,25.670258240000003,2.9986293660476804,2,109,11,1,29,3,50,4,4,7,1,56,0.2558139534883721,0.9914724025974028,0.5002085967410344,0.86238885,0.7436657803156855,0.36637559921492463,Low,High,Medium,High,High,Medium,Low,Very High,Medium,Very High,High,Low,1
7945,1316.48,25.973381040000003,67.54106472,1.1629319999999992,-20.43706812,59.32333984412253,3,26,22,2,35,4,35,5,2,7,1,63,0.913588850174216,0.9712672114395849,0.5023607543740974,0.9692666,0.7191659913990913,0.627300091227498,High,High,Medium,High,High,Medium,Very High,Very High,Medium,Very High,High,High,1
5782,2174.0,5.192086872,155.6771838,0.6,0.2,14.547492396086454,2,149,11,1,28,3,27,5,2,3,1,35,0.7668539325842697,0.9912696462589555,0.5024237796565251,0.9672482,0.5189230639896066,0.7071017197158587,High,High,Medium,High,Medium,High,High,Very High,Medium,Very High,Medium,High,1
3696,567.68,27.871324799999996,93.61178316,-11.848375664,-14.248376239999994,0.0948317442089319,6,41,22,1,37,3,30,5,9,7,1,54,0.03859649122807018,0.0,0.49209221551091376,0.0018920556,0.17634885506487488,0.05763848604197605,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
6587,1189.0,0.0,270.0,0.0,0.0,63.37064061779529,0,1,0,0,0,0,1,1,1,0,0,0,0.913588850174216,0.99875,0.5009569322195722,0.9657639,0.42943649437573844,0.45068219834255824,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,Medium,1
5564,110.88,1.9530391439999997,171.32520392000004,0.1,0.1,0.0,2,106,1,2,33,3,13,3,4,2,2,43,0.012618296529968454,0.0,0.4901187860830285,0.00064047077,0.025335004636264778,0.04221363193651421,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
7883,96.84,9.626859688,208.94620000000003,-1.8115309400000001,-1.8115308399999999,125.60225102119148,4,113,21,7,37,3,2,7,4,7,2,80,0.7894736842105263,0.9983134920634921,0.5003562621970224,0.98632216,0.2343709786528715,0.29742598760223954,High,High,Medium,High,Low,Low,High,Very High,Medium,Very High,Low,Low,1
8268,2490.16,15.685599943999998,145.96923644,2.62116376,-6.5788367999999995,56.30351690389216,2,44,11,1,11,3,41,5,11,8,1,35,0.913588850174216,0.9909297136362087,0.5047678131685779,0.98963976,0.9138481377912318,0.9614206624619392,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
5433,219.88,6.381348979999999,181.39420776,0.437104068,0.43710404000000014,0.641455166041851,4,157,23,1,41,3,36,5,2,7,2,2,0.09954751131221719,0.010621490185791966,0.4938530627643629,0.049694203,0.1006065423065896,0.06937363579855473,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
8831,445.32,28.58276852000001,94.98429727999999,-4.726619916000001,-4.726620039999999,145.41407892294228,4,164,55,1,29,3,25,5,2,7,1,62,0.3978494623655914,0.9986666666666667,0.5035419654761263,0.9817214,0.5813556094111985,0.8373969371425591,Medium,High,Medium,High,Medium,High,Low,Very High,Medium,Very High,Medium,Very High,1
4721,140.04,4.490776255999999,190.4658084,-1.16,2.84,85.37532412912697,4,91,43,1,37,3,56,4,4,2,1,15,0.5957446808510638,0.00375,0.49717183848835983,0.013824893,0.34176674873606927,0.25014912195146816,Medium,Low,Medium,Low,Medium,Low,Medium,Very Low,Medium,Very Low,Low,Low,0
1555,35.76,1.5785374039999995,177.137398,-0.5,1.5,0.0399563880637288,7,72,47,5,1,5,2,7,4,2,2,41,0.012618296529968454,0.0,0.4877220168136516,0.00020854358,0.012979920930670387,0.022454183282213696,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
2902,278.32,17.84813296,196.91802557199998,-4.489890439999999,10.310109440000002,0.0,5,64,23,1,1,5,2,7,9,7,2,4,0.012618296529968454,0.0,0.4905200122714037,0.005992528,0.0851404869305517,0.04531578038614896,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
8563,1961.28,19.106439635999998,193.82400005600002,-2.18319882,27.4168008,63.8019072348252,3,118,62,8,44,6,64,9,13,7,2,25,0.913588850174216,0.9998,0.5051277135119843,0.9914238,0.883462334139532,0.898380488872154,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
2067,233.64,4.3059298800000025,201.5659836,0.8246154,-2.3753846,13.76844266988337,7,77,49,1,1,5,2,7,4,4,2,9,0.012618296529968454,0.0,0.49127517953069955,0.00035523824,0.036571084561640925,0.02324923385418027,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
768,1216.4,19.635645863999997,210.6728732,-5.078736868000001,3.7212631199999997,29.15439402591437,4,134,24,1,19,4,28,5,2,7,1,29,0.7668539325842697,0.033017690173570396,0.5021423302880011,0.09480131,0.3976486266093858,0.44277294161040404,High,Low,Medium,Low,Medium,Medium,High,Very Low,Medium,Very Low,Low,Medium,0
2644,443.24,40.37527136,144.92671760000002,-13.327739935999999,-13.327739584000005,15.338345082476735,6,41,22,1,37,3,30,5,9,7,1,54,0.2754491017964072,0.0026568100358422943,0.49644363211568165,0.016953819,0.20120440592125122,0.0807987241665389,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Low,Very Low,0
6607,554.64,10.050196492,233.4358396,2.5440174960000004,-1.4559824000000008,112.48960290569812,6,128,30,1,37,3,56,4,2,6,1,15,0.6193548387096774,0.9876583059617927,0.5006480019529997,0.9577996,0.6190045832270952,0.8373687643833162,Medium,High,Medium,High,Medium,High,High,Very High,Medium,Very High,High,Very High,1
1292,202.6,1.4810592279999997,171.0,0.0,1.2,1.423347681760788,3,118,62,8,44,6,64,9,13,3,2,13,0.09954751131221719,0.00078125,0.4947501247507804,0.050403435,0.1717831342762427,0.12736250637745458,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
2011,249.8,12.345701412000004,186.4234296,-1.1779310799999998,1.6220689200000005,0.3581537082791328,5,24,8,1,1,5,2,7,2,7,2,64,0.012618296529968454,8.293838862559243e-05,0.490110644864868,0.00043551202,0.05572215776766159,0.04367041118928936,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4725,794.64,6.07465062,262.3648344,-3.2070588799999995,-2.4070590399999996,0.0,4,129,57,1,1,5,2,7,2,4,1,6,0.03859649122807018,0.0,0.4933931923299124,0.008482163,0.10275617248942472,0.05903283165682511,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4775,202.16,2.6473556879999993,164.97165472,0.42769232,0.42769228,0.4728812221437692,7,161,49,7,1,5,2,7,4,6,2,13,0.012618296529968454,0.0,0.48700509096344236,0.00015997689,0.02460738395472846,0.045649974513716204,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
7357,1711.04,14.951336263999996,130.36395256,2.3279453080000003,12.727945612000003,51.400272098369896,3,40,8,2,1,5,14,9,2,7,2,53,0.913588850174216,0.9986827346612362,0.505646932823349,0.9982822,0.6638285691665693,0.9466006031389138,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
3652,316.48,4.213321092,82.79999992,-0.5,-0.5,2.4629061836749315,5,163,49,1,1,5,2,7,2,7,2,3,0.012618296529968454,0.0,0.4912831911636862,0.00053592684,0.055241937963841053,0.0637357455251901,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
7135,2526.16,14.575012139999998,245.3275892,1.85416404,-13.745835840000002,87.02895287238061,2,45,11,1,11,3,41,5,8,7,1,9,0.913588850174216,0.9902850542767044,0.5052658338923209,0.98850924,0.9451587317476631,0.9867713487989948,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
1953,218.76,3.3142443160000004,118.79999992,0.5,0.5,49.97870319709182,7,86,49,3,1,5,3,7,3,4,2,53,0.14954682779456194,0.0,0.4919652573040422,0.00044751845,0.04531920683005818,0.03505313493358356,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
7552,1625.88,11.244543623999999,187.35396159999996,0.4596137200000001,2.05961372,34.291542946361005,2,149,11,1,28,3,27,5,2,6,1,30,0.913588850174216,0.9856969831337448,0.5032314050058093,0.9962607,0.5792151461525586,0.7907895912945218,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,High,1
9209,1957.8,17.131601,209.23038479999997,0.08125284000000021,0.08125275999999985,28.1796743478626,3,127,62,8,44,6,64,9,13,7,1,53,0.7668539325842697,0.9988315217391305,0.5034655797146985,0.9686063,0.8357503274976185,0.9400519055051149,High,High,Medium,High,High,High,High,Very High,Medium,Very High,Very High,Very High,1
1343,58.12,15.66105112,207.869172,5.2057839999999995,0.4057842400000004,81.36831239797175,1,24,8,1,1,5,2,7,2,6,2,9,0.14954682779456194,0.008977229188436084,0.49821930527009944,0.055786986,0.3726875521274561,0.17634625921621305,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
917,2022.48,34.0868484,147.48789,12.49248232,-27.907517199999994,15.54281387384981,3,119,33,1,28,3,54,4,2,7,1,60,0.5,0.03139947332350198,0.5007548536077968,0.11619997,0.6477693383669082,0.5489758277697189,Medium,Low,Medium,Low,Medium,Medium,Medium,Very Low,Medium,Very Low,High,Medium,0
9260,407.24,25.102526440000002,232.79829,7.7937864,-27.80621324,6.3793956357985735,4,74,48,1,1,5,2,7,2,7,1,62,0.2754491017964072,0.9968363095238095,0.49691753704205416,0.88289326,0.10695430711791798,0.08109815759653352,Low,High,Medium,High,Low,Low,Low,Very High,Medium,Very High,Very Low,Very Low,1
4913,58.0,1.275099992,186.13739792,0.0,-0.4,29.94276731740684,7,16,8,7,1,5,2,7,4,3,2,13,0.012618296529968454,0.0,0.4927402907271806,0.0008850245,0.05252685342769553,0.05092118735769623,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
1336,1069.76,25.671384999999997,214.71131559999998,-2.923785068000001,5.076215800000001,36.972884729504585,3,26,22,2,35,4,35,5,2,7,1,54,0.6115384615384616,0.04317465907681824,0.4999125202505268,0.015463458,0.5652698014819537,0.45405631408772223,Medium,Low,Medium,Low,Medium,Medium,High,Very Low,Medium,Very Low,Medium,Medium,0
9331,1418.2,15.790417992,62.02996344800001,0.19517780000000073,-13.804822199999998,39.19416800327599,6,8,8,1,23,4,10,7,2,7,2,26,0.913588850174216,0.9934156689584321,0.5026229702704013,0.9746054,0.4686125628178511,0.42918075933393596,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,Medium,1
4512,88.48,5.407708268000001,185.29434639999997,0.58,-1.02,0.0,7,16,8,7,1,5,2,7,4,3,2,67,0.012618296529968454,8.293838862559243e-05,0.4878344081790566,0.0005282621,0.019475974237446913,0.058981772220933176,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4313,65.0,5.939596004000001,157.108654,-0.452307692,-5.25230772,0.0275679901242256,7,131,49,7,1,5,2,7,4,3,2,67,0.012618296529968454,0.0,0.48570012430101617,0.00013065775,0.00901599118990946,0.037518785278538615,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
2586,9.08,1.9289587759999995,209.862602,-1.0,-0.6,253.9746346436441,3,154,19,1,11,3,23,4,4,1,2,42,0.14954682779456194,0.001,0.4976328067557133,0.021755548,0.5272370712794584,0.12230087816999544,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Medium,Very Low,0
4477,1021.96,11.062773519999999,152.8053204,4.711425292,-10.488574520000002,0.0,3,76,15,2,29,3,22,4,2,7,1,9,0.09595959595959595,0.0030687830687830685,0.494725140294046,0.020016022,0.34778965109143994,0.23655011498547723,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Low,Low,0
8243,1487.12,29.606893440000004,219.17801479999997,-1.6531011600000005,35.146899600000005,25.56691279821098,3,148,8,1,16,3,55,5,2,7,2,1,0.7668539325842697,0.964697283344414,0.5009580837423983,0.9465941,0.5611777568999536,0.48178943705963584,High,High,Medium,High,Medium,Medium,High,Very High,Medium,Very High,Medium,Medium,1
85,2332.36,21.057100983999998,244.26783479999997,1.5839187600000009,1.5839184800000021,27.189190305769444,1,22,23,1,20,4,31,5,2,7,2,53,0.7668539325842697,0.052235133877687884,0.5015910910839366,0.12766135,0.6609345211512596,0.8753547339979905,High,Low,Medium,Low,High,High,High,Very Low,Medium,Very Low,High,Very High,0
9420,2643.48,17.72629988,233.93703119999998,3.4520828800000007,-11.347916719999999,0.0458417013287544,1,22,23,1,20,4,31,5,2,7,2,53,0.09595959595959595,0.9996739130434783,0.4961187010968285,0.8751598,0.6092374125923026,0.7683685517238211,Low,High,Medium,High,Medium,High,Very Low,Very High,Medium,Very High,High,High,1
8770,1181.64,18.620568664000004,130.5675502,5.635199279999999,-22.364800999999996,123.91226925794037,4,142,7,1,39,3,2,7,2,7,1,62,0.52,1.0,0.5044286651779648,0.9873009,0.7618991368162176,0.889721986231615,Medium,High,Medium,High,High,High,Medium,Very High,Medium,Very High,High,Very High,1
8673,699.4,2.7030239999999996,103.97774244,-0.52,-1.32,75.01853234134614,3,117,62,8,44,6,64,9,13,4,2,53,0.8111111111111111,0.9963659420289855,0.5008723151245815,0.9209843,0.5044821126989417,0.6030334760346906,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,High,1
2038,56.4,2.1712461279999995,134.71499972,0.32,-0.08,0.0,1,35,49,7,1,5,2,7,4,3,2,22,0.012618296529968454,0.0,0.4893085692673023,0.00039563424,0.04690622682510634,0.047931183105289564,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
6825,930.6,15.1283384,258.0316864,3.3633846400000005,-4.236615319999999,104.03340883366764,3,40,8,2,1,5,14,9,2,7,2,23,0.8511904761904762,0.9996666666666667,0.5052181259664041,0.99644285,0.6932819627969828,0.8448101409872699,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
2095,85.6,1.7174431799999996,198.0,0.0,-2.0,0.2508829161524772,7,131,49,7,1,5,2,7,4,6,2,9,0.012618296529968454,0.0,0.4874107564187862,0.0013303662,0.02348667940708923,0.035509261625326076,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
502,2592.24,27.346856640000002,238.33414360000003,7.989932840000002,-53.61006744,28.62913607992232,2,151,14,1,43,4,63,5,2,7,1,76,0.5,0.01799790515243593,0.5005216798697745,0.09104405,0.8146320397835285,0.5161674820302466,Medium,Low,Medium,Low,High,Medium,Medium,Very Low,Medium,Very Low,Very High,Medium,0
7926,737.08,17.077404480000006,61.920743120000004,13.15646252,11.15646244,38.112747761420906,3,81,38,1,1,5,2,7,2,7,1,6,0.2754491017964072,0.9908453782424037,0.4998127284907463,0.9649777,0.5283798090524887,0.38450513267115827,Low,High,Medium,High,Medium,Medium,Low,Very High,Medium,Very High,Medium,Low,1
6084,2460.2,11.088252776000004,256.5952768,-3.32531674,8.674683640000001,83.62931557558477,2,44,11,1,11,3,41,5,11,7,1,55,0.913588850174216,0.998279941014018,0.5049081897043365,0.99845016,0.9035119082284886,0.9640350164755591,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
5372,60.2,6.874848148,152.17592460000003,-2.6068778,2.5931221600000005,36.27828951831907,1,35,49,7,1,5,2,7,4,7,2,67,0.012618296529968454,0.0,0.49358869557037094,0.0008212195,0.0867404689481667,0.07361323056240764,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
2623,123.24,4.523217068000001,158.4487556,0.6046154,3.8046154000000003,85.47852495964617,7,72,47,5,1,5,2,7,4,3,2,46,0.14954682779456194,9.615384615384615e-05,0.49571304498561947,0.008304406,0.07059835235553426,0.03768045783982847,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3538,77.6,17.208506336,49.385506400000004,-1.767679344,-23.767678959999998,0.4304438736289739,5,24,8,1,1,5,2,7,2,6,2,3,0.012618296529968454,0.0,0.4897891312321049,0.0026567325,0.082828967515318,0.06681112547435167,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4900,187.16,13.082087560000002,178.85165536,-1.1529387159999998,10.447061359999998,3.754366443492472,4,164,55,1,29,3,25,5,2,7,1,80,0.0,0.0018688423645320195,0.4980425957818802,0.029366141,0.06175452340323625,0.08627769086569935,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3497,1150.28,25.28183478399999,195.664896908,0.9513875599999999,0.15138784000000044,0.0,3,75,60,1,23,4,2,7,2,7,2,4,0.09595959595959595,0.0,0.4954456349682641,0.022042308,0.22561941277381514,0.17316827896344228,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
